district_id,district_name,area_km2,competitor_cnt,competitor_density_km2,metro_cnt,metro_density_km2,metro_dist_m_centroid,res_buildings_cnt,res_buildings_density_km2,dormitory_cnt,cemetery_area_share,walk_reach_nodes_10min_point,metro_walk_time_s_point,res_buildings_density_km2_pct,walk_reach_nodes_10min_point_pct,metro_walk_time_s_point_pct,competitor_density_km2_pct,dormitory_cnt_pct,cemetery_area_share_pct,index_score_0_1,index_rank
88,Котловка,3.992479013671631,2,0.5009418942845554,0,0.0,890.2581145573249,250,62.61773678556942,0,0.0,1682,974.0641262664565,0.815068493150685,0.7465753424657534,0.40410958904109584,0.2465753424657534,0.24315068493150685,0.7363013698630136,0.5979452054794521,43.0
56,Проспект Вернадского,4.704120861107244,2,0.42515914430167195,17,3.6138527265642115,350.50838527899515,189,40.177539136508,1,0.0,1394,246.17662155390502,0.5616438356164384,0.5753424657534246,0.8767123287671232,0.28767123287671237,0.571917808219178,0.7363013698630136,0.5962328767123287,45.0
53,Войковский,5.340111408753733,3,0.5617860322318884,13,2.4344061396715166,167.1649409960363,282,52.80788702979751,2,0.0,814,274.1385711362692,0.7534246575342466,0.363013698630137,0.863013698630137,0.2191780821917808,0.7054794520547946,0.7363013698630136,0.5943493150684931,46.0
86,Чертаново Северное,6.207807694767686,0,0.0,13,2.094137035036891,885.9210163996988,163,26.257256670077943,0,0.0,1704,632.2915138032932,0.3219178082191781,0.7671232876712328,0.636986301369863,0.8561643835616438,0.24315068493150685,0.7363013698630136,0.5931506849315069,47.0
78,Алтуфьевский,3.2939271460853163,0,0.0,1,0.30358898532059364,1032.8893345226802,124,37.64503417975361,0,0.0,1548,985.7716576637221,0.541095890410959,0.684931506849315,0.3904109589041096,0.8561643835616438,0.24315068493150685,0.7363013698630136,0.589041095890411,48.0
62,Беговой,4.041836369946457,3,0.7422368758683178,1,0.2474122919561059,749.2064024770527,169,41.8126773405819,0,0.0,2434,728.3716523047053,0.589041095890411,0.8904109589041096,0.5547945205479452,0.17123287671232879,0.24315068493150685,0.7363013698630136,0.5849315068493152,49.0
59,Дорогомилово,7.79909938788134,2,0.2564398657501028,30,3.8465979862515423,125.23929115188459,178,22.82314805175915,2,0.0,2135,286.09808744587343,0.22602739726027396,0.8424657534246576,0.8561643835616438,0.410958904109589,0.7054794520547946,0.7363013698630136,0.5833904109589041,50.0
134,Кузьминки,7.98523252741407,2,0.25046233696186154,10,1.2523116848093077,780.188060797288,487,60.987579050213284,3,0.0,836,794.444966206224,0.8013698630136986,0.3767123287671233,0.5136986301369864,0.4178082191780822,0.7808219178082192,0.7363013698630136,0.5758561643835616,51.0
83,Чертаново Южное,9.146118232646774,0,0.0,17,1.8587120314407317,290.8452595560684,253,27.662008467912067,0,0.0,1234,427.77577295055613,0.3698630136986301,0.5136986301369864,0.7876712328767124,0.8561643835616438,0.24315068493150685,0.7363013698630136,0.5743150684931507,52.0
63,Коптево,4.805492026399432,2,0.41619047311135005,6,1.2485714193340502,909.7720158439281,397,82.61380891260299,2,0.0,937,999.8865989317774,0.9383561643835616,0.3972602739726027,0.37671232876712324,0.29452054794520544,0.7054794520547946,0.7363013698630136,0.5724315068493149,53.0
