district_name,lat,lon,local_demand_w
Зюзино,55.64562019072347,37.58797643446223,
Зюзино,55.650111556561825,37.58781479442821,
Зюзино,55.65460291877902,37.58765310872746,
Зюзино,55.659094277375125,37.58749137734233,
Зюзино,55.663585632350234,37.58732960025516,
Зюзино,55.645711331703716,37.595918457690715,
Зюзино,55.650202712789955,37.59575772608185,
Зюзино,55.6546940902585,37.59559694906266,
Зюзино,55.659185464109456,37.595436126615596,
Зюзино,55.663676834342894,37.59527525872308,
Зюзино,55.64580195880742,37.60386052631196,
Зюзино,55.650293355055624,37.60370070314582,
Зюзино,55.65478474768961,37.60354083482574,
Зюзино,55.659276136709465,37.603380921334306,
Зюзино,55.663767522115265,37.603220962654014,
Текстильщики,55.715622451119756,37.72539919149314,
Текстильщики,55.72011401822729,37.725252897248765,
Текстильщики,55.69324680784468,37.73408214829637,
Текстильщики,55.697738406529155,37.733936972167996,
Текстильщики,55.70223000165505,37.73379175497648,
Текстильщики,55.70672159322249,37.73364649670593,
Текстильщики,55.711213181231585,37.73350119734042,
Текстильщики,55.71570476568241,37.73335585686405,
Текстильщики,55.72019634657511,37.73321047526089,
Текстильщики,55.69332853866516,37.74203429537602,
Текстильщики,55.69782015103289,37.741890030615906,
Текстильщики,55.70231175984517,37.74174572505022,
Текстильщики,55.70680336510213,37.74160137866318,
Текстильщики,55.711294966803855,37.74145699143896,
Текстильщики,55.71578656495049,37.74131256336176,
Текстильщики,55.7202781595421,37.74116809441575,
Текстильщики,55.69340975461625,37.749986483245436,
Текстильщики,55.69790138058109,37.74984312986936,
Ховрино,55.87468482848344,37.47079976213337,
Ховрино,55.879175789858955,37.470623202488476,
Ховрино,55.88366674756713,37.47044659269722,
Ховрино,55.86580184922447,37.47913918352616,
Ховрино,55.87029283453928,37.47896364504246,
Ховрино,55.87478381619043,37.47878805671264,
Ховрино,55.879274794178,37.47861241851729,
Ховрино,55.86140928018337,37.48730025378851,
Ховрино,55.86590028567565,37.48712568581687,
Ховрино,55.87039128750802,37.48695106827961,
Ховрино,55.87488228568054,37.48677640115743,
Ховрино,55.879373280193306,37.486601684431044,
Ховрино,55.85701615658212,37.49545948292198,
Ховрино,55.86150718215751,37.49528588494025,
Ховрино,55.86599820407673,37.495112237673204,
Ховрино,55.870489222339835,37.49493854110167,
Ховрино,55.874980236946875,37.494764795206436,
Ховрино,55.857113524249755,37.50344424289631,
Ховрино,55.861604566161525,37.50327156537732,
Ховрино,55.866095604420856,37.50309883883405,
Ховрино,55.87058663902783,37.50292606324741,
Ховрино,55.866192486701166,37.511085489038244,
Пресненский,55.74877170197429,37.52226317625775,
Пресненский,55.75326286184844,37.52209336085349,
Пресненский,55.75775401807531,37.52192349735901,
Пресненский,55.748867210506475,37.53022591126152,
Пресненский,55.7533583863813,37.53005701009652,
Пресненский,55.757849558612506,37.52988806109993,
Пресненский,55.76234072720017,37.529719064253214,
Пресненский,55.74896220322102,37.53818869407833,
Пресненский,55.75345339501016,37.538020707171135,
Пресненский,55.757944583159336,37.53785267269099,
Пресненский,55.76243576766861,37.53768459061945,
Пресненский,55.766926948538085,37.537516460938036,
Пресненский,55.749056680111245,37.546151524449655,
Пресненский,55.75354788772837,37.545984451818704,
Пресненский,55.758039091709165,37.54581733187345,
Пресненский,55.762530292053675,37.54565016459554,
Пресненский,55.76702148876203,37.54548294996662,
Пресненский,55.77151268183426,37.54531568796831,
Пресненский,55.753641864529314,37.553948243780575,
Пресненский,55.75813308425537,37.55378203838856,
Пресненский,55.76262430034875,37.55361578592266,
Пресненский,55.76711551280955,37.553449486364585,
Пресненский,55.77160672163787,37.55328313969609,
Пресненский,55.753735325406446,37.56191208279809,
Пресненский,55.75822656079137,37.561746791977576,
Пресненский,55.76271779254723,37.56158145434192,
Пресненский,55.76720902067411,37.561416069872976,
Пресненский,55.77170024517208,37.56125063855257,
Пресненский,55.75382827035319,37.56987596861259,
Пресненский,55.75831952131063,37.569711592381715,
Пресненский,55.76281076864258,37.56954716959448,
Пресненский,55.76730201234913,37.56938270023283,
Пресненский,55.77179325243033,37.56921818427869,
Пресненский,55.758411965806665,37.57767643934221,
Пресненский,55.7629032286283,37.57751293142146,
Пресненский,55.7673944878281,37.577349377185165,
Пресненский,55.771885743406116,37.57718577661537,
Пресненский,55.75850389427298,37.58564133260028,
Пресненский,55.762995172497924,37.58547873956396,
Пресненский,55.76748644710457,37.585316100471,
Пресненский,55.77197771809295,37.58515341530353,
Пресненский,55.75859530670314,37.59360627189713,
Пресненский,55.76308660024501,37.5934445937631,
Пресненский,55.76757789017207,37.59328286983134,
Пресненский,55.75419489070697,37.60173197466677,
Пресненский,55.75868620309077,37.601571256973955,
Пресненский,55.76317751186316,37.60141049375998,
Свиблово,55.849454629945974,37.63329639225275,
Свиблово,55.85394593206412,37.63313873983835,
Свиблово,55.858437230587846,37.632981042670885,
Свиблово,55.84954304763621,37.64128008136852,
Свиблово,55.854034364588415,37.641123349198296,
Свиблово,55.85852567794962,37.64096657253599,
Свиблово,55.863016987719924,37.6408097513643,
Свиблово,55.845139612214204,37.649419582653934,
Свиблово,55.84963094750135,37.64926381495906,
Свиблово,55.8541222792008,37.649108003050316,
Свиблово,55.858613607312655,37.64895214691048,
Свиблово,55.845226979591004,37.657402440440585,
Свиблово,55.84971832953522,37.657247592763476,
Свиблово,55.85420967589511,37.65709270113341,
Свиблово,55.845313829217176,37.66538534216312,
Свиблово,55.849805193731676,37.66523141452087,
