district_name,demand_total,mean_time_min,p50_time_min,p90_time_min,share_5min,share_10min,share_15min
Таганский,10257600.0496048,145.99137955277382,145.85354351879354,154.44516910641667,0.0,0.0,0.0
Отрадное,12742071.675342137,22.755481326187184,24.413483705237645,34.647907391057295,0.04349878121251941,0.13511826567032667,0.24450418563859724
Щербинка,4490664.236838415,83.37248347493163,82.25967508781609,93.22016395003044,0.0,0.0,0.0
Котловка,3801777.0266051125,46.01991208246432,48.281661744848506,56.99969638108927,0.0,0.0,0.0
Зябликово,5824778.143054005,64.63775489898147,66.45078356448168,74.35039483044838,0.0,0.0,0.0
Косино-Ухтомский,4900433.958094571,160.0974172089899,160.90807030043615,174.92652621330683,0.0,0.0,0.0
Коньково,10215091.529898692,41.56258844386007,40.18355218439763,53.18544822019318,0.0,0.0,0.0
Ростокино,3500176.5143277277,49.93785237857337,52.33038542672922,59.97527164957639,0.0,0.0,0.0
Хорошёво-Мнёвники,17266518.712499056,136.5328800803069,138.87603737599446,146.39639803446107,0.0,0.0,0.0
Новокосино,5677237.475962934,171.31048791595077,170.14313971984046,183.49022589968115,0.0,0.0,0.0
Фили-Давыдково,7445195.88291147,69.03886934807511,68.07426509934959,82.1197981079034,0.0,0.0,0.0
Алтуфьевский,3552550.41777101,42.35010541652721,40.68211483333316,51.94009734625387,0.0,0.0,0.0
Рязанский,8690640.478264323,103.741999356047,105.73713900740131,117.07838255897859,0.0,0.0,0.0
Обручевский,9781926.685325896,16.346983499749864,15.555315776070112,31.89883841153011,0.07523538276233886,0.3235083476001201,0.49475167389470437
Донской,3584678.3036292866,72.47595484732534,72.44702481939339,83.49802640930491,0.0,0.0,0.0
Северное Медведково,6563282.836935932,66.59021537877094,67.33803832287933,78.08554222510568,0.0,0.0,0.0
Раменки,22220499.35609049,24.380063056923802,23.356010384395884,45.88204315925136,0.06304355416206861,0.2034400865703715,0.3246600733927099
Восточное Измайлово,3895881.535002626,214.58059616316274,215.4310003384839,220.3142107644535,0.0,0.0,0.0
Чертаново Южное,9134735.639485681,47.35354671609419,49.46748922187828,56.97148919067869,0.0,0.0,0.0
"""Мосрентген""",1174104.951819368,75.82016144193999,78.80334425147508,87.30858149021556,0.0,0.0,0.0
