district_id,district_name,area_km2,competitor_cnt,competitor_density_km2,metro_cnt,metro_density_km2,metro_dist_m_centroid,res_buildings_cnt,res_buildings_density_km2,dormitory_cnt,cemetery_area_share
16,Щукино,7.963808464056843,3,0.37670418789451526,19,2.385793189998597,947.5300404409146,426,53.49199468102117,5,0.0
17,Краснопахорское,86.99986894345571,0,0.0,0,0.0,11695.140888124539,549,6.310354333485428,0,0.000961478159843297
18,Нагатинский Затон,9.5905398964692,0,0.0,14,1.4597718325695264,529.9419892552785,276,28.778358984942088,0,0.001695182636618402
19,Старое Крюково,4.401139455916875,0,0.0,1,0.22721388631655468,1571.715271039591,104,23.630244176921686,0,0.0
20,Клёновское,118.12152682028035,0,0.0,0,0.0,14487.409449595232,305,2.5820865020145876,0,0.0017968603999026906
21,Дмитровский,7.072462088012866,0,0.0,11,1.5553282383293263,1153.396247014858,215,30.39959738552774,3,0.0
22,Филимонковское,35.74628753393747,0,0.0,0,0.0,4921.620930423549,1541,43.10937180642821,0,0.0003145898353290137
23,Троицк,16.314429757858427,2,0.12259086156760267,0,0.0,5790.0968156997205,414,25.376308344493754,0,0.0
24,Тёплый Стан,8.391921010737818,3,0.35748668226993235,14,1.668271183926351,568.2671684821293,191,22.75998543785236,0,0.0
25,Щаповское,86.79912744482071,0,0.0,0,0.0,13935.139045592201,334,3.84796494886804,0,0.000697494196661224
26,Московский,40.368470776243605,1,0.02477180781860305,23,0.5697515798278701,2158.6406506020426,786,19.470640945421994,0,0.0011851677255950762
27,Десёновское,52.952307226270634,0,0.0,2,0.03776983675996959,2150.8561980934287,950,17.940672460985557,0,0.0074215247136503425
28,Ховрино,5.269546083851201,0,0.0,7,1.3283876615961032,923.8524049066228,271,51.427579470363426,1,0.0
29,Ломоносовский,3.331911767888334,0,0.0,3,0.9003839864287013,686.7521890929169,202,60.62585508619922,0,0.0
30,Можайский,16.870714410867294,3,0.17782293783999722,3,0.17782293783999722,2426.744552847169,615,36.45370225719943,1,0.009992052881046527
31,Ново-Переделкино,8.604234500586122,2,0.23244368803102236,9,1.0459965961396007,585.581562181277,196,22.779481427040192,0,2.0126676400468313e-05
32,Строгино,16.776191025018132,2,0.11921657288102072,7,0.4172580050835725,655.8741304857798,419,24.975872018573842,0,0.0003629751282003773
33,Молжаниновский,15.874256079979354,0,0.0,0,0.0,3627.4710631331113,719,45.29346108425228,0,0.008467353185282871
34,Митино,12.537249258562866,31,2.472631704185604,20,1.5952462607649058,139.09726557621676,337,26.87989949388866,0,0.0013277946988135018
35,Куркино,7.723979783282266,0,0.0,0,0.0,4027.8874544352257,272,35.21500672344005,0,0.0007009687619455665
36,Крылатское,12.162896217060494,3,0.24665177984434322,10,0.8221725994811441,1078.2990560310673,288,23.67857086505695,1,0.0
37,Солнцево,11.261912318615115,2,0.17758973284618337,6,0.5327691985385501,424.2656873142508,369,32.765305710120835,1,0.0
38,Сосенское,66.77559370460682,1,0.014975531395852051,39,0.58404572443823,277.620119188931,1786,26.746299072991764,3,0.027864086942239165
39,Воскресенское,24.785317020751314,0,0.0,0,0.0,3991.3905831397415,1954,78.8369984682475,0,1.8942273048365936e-05
40,Головинский,8.817974359251888,1,0.1134047298460096,5,0.567023649230048,1106.550630460109,374,42.41336896240759,3,0.01739196557393403
41,Южное Тушино,7.8882353619404455,10,1.2677106527840818,6,0.7606263916704491,935.0332952401332,334,42.34153580298833,1,0.0
42,Северное Тушино,9.233532116248593,28,3.032425690135127,7,0.7581064225337818,488.41350208120247,312,33.7898862615057,0,0.0
43,Черёмушки,5.4667330798434195,2,0.3658492139252727,16,2.9267937114021816,693.8372173819795,334,61.09681872552054,0,0.0
44,Покровское-Стрешнево,13.084860792592597,2,0.1528483972204129,16,1.2227871777633033,449.8814152114782,306,23.385804774723173,1,0.0
45,Хорошёво-Мнёвники,18.035168193876785,2,0.11089444681081657,20,1.1089444681081657,1233.5816719013558,781,43.304281479623874,4,0.0
46,Очаково-Матвеевское,17.563127389527935,1,0.05693746778812599,13,0.7401870812456378,1067.759324199635,339,19.301801580174708,5,0.0068632455708550226
47,Тропарёво-Никулино,11.265525635693571,1,0.08876638626000821,19,1.686561338940156,906.46520031458,212,18.81847388712174,5,0.07111685421847379
48,Левобережный,6.406156474750569,1,0.15609983988705742,8,1.2487987190964593,574.7453092254185,165,25.756473581364475,0,0.0
49,Фили-Давыдково,6.982573849408899,6,0.8592819967823072,16,2.2914186580861524,219.31144394256222,379,54.27797946341574,1,0.0
50,Обручевский,6.0484974319574345,3,0.4959909520915726,21,3.4719366646410084,1118.4627124655535,170,28.10615395185578,8,0.0
51,Рязановское,40.62203336244002,1,0.024617182283263567,1,0.024617182283263567,3322.811235230131,6778,166.85526151596045,0,0.0030309872902619045
52,Раменки,18.800654501317812,1,0.05318963762298307,34,1.8084476791814246,37.603016195986626,424,22.552406352144825,6,0.0
53,Войковский,5.340111408753733,3,0.5617860322318884,13,2.4344061396715166,167.1649409960363,282,52.80788702979751,2,0.0
54,Сокол,3.4971872081931865,0,0.0,8,2.2875526884170383,552.4849627150824,321,91.78805162273366,12,0.00017118783998172345
55,Западное Дегунино,7.602682890917258,6,0.7891950889031628,4,0.5261300592687752,1753.5786585718333,254,33.40925876356722,0,0.0015057677892262328
56,Проспект Вернадского,4.704120861107244,2,0.42515914430167195,17,3.6138527265642115,350.50838527899515,189,40.177539136508,1,0.0
57,Южное Бутово,26.005897357120467,1,0.03845281653879165,10,0.3845281653879165,1680.6877129189097,1356,52.14201922660148,0,0.0069595408680162615
58,Ясенево,24.818766790857076,5,0.2014604529763315,24,0.9670101742863912,1048.7929608508339,144,5.8020610457183475,0,0.0007268563414744347
59,Дорогомилово,7.79909938788134,2,0.2564398657501028,30,3.8465979862515423,125.23929115188459,178,22.82314805175915,2,0.0
60,Коньково,7.812781162453003,7,0.8959677552010414,17,2.175921691202529,244.06055790374876,271,34.686751665640315,11,0.0
61,Хорошёвский,8.56809785115655,2,0.23342403818719618,24,2.801088458246354,476.87986603559574,292,34.079909575330646,1,0.0
62,Беговой,4.041836369946457,3,0.7422368758683178,1,0.2474122919561059,749.2064024770527,169,41.8126773405819,0,0.0
63,Коптево,4.805492026399432,2,0.41619047311135005,6,1.2485714193340502,909.7720158439281,397,82.61380891260299,2,0.0
