district_name,res_buildings_density_km2_contrib,walk_reach_nodes_10min_point_contrib,metro_walk_time_s_point_contrib,competitor_density_km2_contrib,dormitory_cnt_contrib,cemetery_area_share_contrib,index_score_0_1,index_rank,top3_contrib
Таганский,0.2321917808219178,0.23116438356164384,0.10821917808219178,0.014383561643835623,0.03527397260273973,0.0027397260273972603,0.623972602739726,34.0,"res_buildings_density_km2=0.232, walk_reach_nodes_10min_point=0.231, metro_walk_time_s_point=0.108"
Отрадное,0.12945205479452054,0.1643835616438356,0.1904109589041096,0.07294520547945205,0.028595890410958905,0.036815068493150686,0.6226027397260273,35.0,"metro_walk_time_s_point=0.190, walk_reach_nodes_10min_point=0.164, res_buildings_density_km2=0.129"
Бутырский,0.17465753424657535,0.21404109589041095,0.15068493150684933,0.00410958904109589,0.03527397260273973,0.036815068493150686,0.6155821917808219,36.0,"walk_reach_nodes_10min_point=0.214, res_buildings_density_km2=0.175, metro_walk_time_s_point=0.151"
Новогиреево,0.26301369863013696,0.11472602739726027,0.13698630136986303,0.02876712328767123,0.028595890410958905,0.036815068493150686,0.6089041095890411,37.0,"res_buildings_density_km2=0.263, metro_walk_time_s_point=0.137, walk_reach_nodes_10min_point=0.115"
Солнцево,0.13767123287671232,0.19606164383561644,0.13150684931506848,0.07808219178082193,0.028595890410958905,0.036815068493150686,0.6087328767123287,38.0,"walk_reach_nodes_10min_point=0.196, res_buildings_density_km2=0.138, metro_walk_time_s_point=0.132"
Южнопортовый,0.21369863013698628,0.0958904109589041,0.163013698630137,0.06780821917808219,0.028595890410958905,0.036815068493150686,0.6058219178082191,39.0,"res_buildings_density_km2=0.214, metro_walk_time_s_point=0.163, walk_reach_nodes_10min_point=0.096"
Нагатинский Затон,0.11506849315068492,0.1506849315068493,0.1863013698630137,0.12842465753424656,0.012157534246575343,0.012328767123287671,0.6049657534246575,40.0,"metro_walk_time_s_point=0.186, walk_reach_nodes_10min_point=0.151, competitor_density_km2=0.128"
Фили-Давыдково,0.23013698630136983,0.12243150684931507,0.1643835616438356,0.021575342465753426,0.028595890410958905,0.036815068493150686,0.6039383561643835,41.0,"res_buildings_density_km2=0.230, metro_walk_time_s_point=0.164, walk_reach_nodes_10min_point=0.122"
Хорошёвский,0.1458904109589041,0.18493150684931506,0.1410958904109589,0.06575342465753424,0.028595890410958905,0.036815068493150686,0.6030821917808218,42.0,"walk_reach_nodes_10min_point=0.185, res_buildings_density_km2=0.146, metro_walk_time_s_point=0.141"
Щукино,0.22808219178082192,0.1404109589041096,0.10136986301369864,0.04726027397260275,0.04400684931506849,0.036815068493150686,0.5979452054794521,43.0,"res_buildings_density_km2=0.228, walk_reach_nodes_10min_point=0.140, metro_walk_time_s_point=0.101"
Котловка,0.24452054794520547,0.18664383561643835,0.08082191780821918,0.03698630136986301,0.012157534246575343,0.036815068493150686,0.5979452054794521,43.0,"res_buildings_density_km2=0.245, walk_reach_nodes_10min_point=0.187, metro_walk_time_s_point=0.081"
Проспект Вернадского,0.1684931506849315,0.14383561643835616,0.17534246575342466,0.04315068493150685,0.028595890410958905,0.036815068493150686,0.5962328767123287,45.0,"metro_walk_time_s_point=0.175, res_buildings_density_km2=0.168, walk_reach_nodes_10min_point=0.144"
Войковский,0.22602739726027396,0.09075342465753425,0.1726027397260274,0.03287671232876712,0.03527397260273973,0.036815068493150686,0.5943493150684931,46.0,"res_buildings_density_km2=0.226, metro_walk_time_s_point=0.173, walk_reach_nodes_10min_point=0.091"
Чертаново Северное,0.09657534246575343,0.1917808219178082,0.1273972602739726,0.12842465753424656,0.012157534246575343,0.036815068493150686,0.5931506849315069,47.0,"walk_reach_nodes_10min_point=0.192, competitor_density_km2=0.128, metro_walk_time_s_point=0.127"
Алтуфьевский,0.16232876712328767,0.17123287671232876,0.07808219178082193,0.12842465753424656,0.012157534246575343,0.036815068493150686,0.589041095890411,48.0,"walk_reach_nodes_10min_point=0.171, res_buildings_density_km2=0.162, competitor_density_km2=0.128"
Беговой,0.17671232876712328,0.2226027397260274,0.11095890410958904,0.025684931506849317,0.012157534246575343,0.036815068493150686,0.5849315068493152,49.0,"walk_reach_nodes_10min_point=0.223, res_buildings_density_km2=0.177, metro_walk_time_s_point=0.111"
Дорогомилово,0.06780821917808219,0.2106164383561644,0.17123287671232879,0.06164383561643835,0.03527397260273973,0.036815068493150686,0.5833904109589041,50.0,"walk_reach_nodes_10min_point=0.211, metro_walk_time_s_point=0.171, res_buildings_density_km2=0.068"
Кузьминки,0.24041095890410957,0.09417808219178082,0.10273972602739728,0.06267123287671232,0.039041095890410965,0.036815068493150686,0.5758561643835616,51.0,"res_buildings_density_km2=0.240, metro_walk_time_s_point=0.103, walk_reach_nodes_10min_point=0.094"
Чертаново Южное,0.11095890410958903,0.1284246575342466,0.15753424657534248,0.12842465753424656,0.012157534246575343,0.036815068493150686,0.5743150684931507,52.0,"metro_walk_time_s_point=0.158, walk_reach_nodes_10min_point=0.128, competitor_density_km2=0.128"
Коптево,0.2815068493150685,0.09931506849315068,0.07534246575342465,0.044178082191780814,0.03527397260273973,0.036815068493150686,0.5724315068493149,53.0,"res_buildings_density_km2=0.282, walk_reach_nodes_10min_point=0.099, metro_walk_time_s_point=0.075"
Филёвский Парк,0.13561643835616438,0.11301369863013698,0.11643835616438357,0.12842465753424656,0.03527397260273973,0.036815068493150686,0.5655821917808218,54.0,"res_buildings_density_km2=0.136, competitor_density_km2=0.128, metro_walk_time_s_point=0.116"
Зюзино,0.2691780821917808,0.0839041095890411,0.1041095890410959,0.026712328767123292,0.039041095890410965,0.036815068493150686,0.5597602739726028,55.0,"res_buildings_density_km2=0.269, metro_walk_time_s_point=0.104, walk_reach_nodes_10min_point=0.084"
Ростокино,0.2095890410958904,0.17465753424657535,0.07671232876712329,0.058561643835616434,0.028595890410958905,0.00821917808219178,0.5563356164383562,56.0,"res_buildings_density_km2=0.210, walk_reach_nodes_10min_point=0.175, metro_walk_time_s_point=0.077"
Рязанский,0.22191780821917806,0.059931506849315065,0.13424657534246576,0.05547945205479452,0.039041095890410965,0.036815068493150686,0.5474315068493151,57.0,"res_buildings_density_km2=0.222, metro_walk_time_s_point=0.134, walk_reach_nodes_10min_point=0.060"
Левобережный,0.09246575342465753,0.18835616438356165,0.1356164383561644,0.08013698630136987,0.012157534246575343,0.036815068493150686,0.5455479452054796,58.0,"walk_reach_nodes_10min_point=0.188, metro_walk_time_s_point=0.136, res_buildings_density_km2=0.092"
Зябликово,0.15821917808219177,0.10787671232876712,0.1821917808219178,0.030821917808219183,0.028595890410958905,0.036815068493150686,0.5445205479452054,59.0,"metro_walk_time_s_point=0.182, res_buildings_density_km2=0.158, walk_reach_nodes_10min_point=0.108"
Царицыно,0.18493150684931506,0.2191780821917808,0.08630136986301369,0.039041095890410965,0.012157534246575343,0.00034246575342465895,0.5419520547945206,60.0,"walk_reach_nodes_10min_point=0.219, res_buildings_density_km2=0.185, metro_walk_time_s_point=0.086"
Дмитровский,0.1232876712328767,0.15753424657534246,0.0547945205479452,0.12842465753424656,0.039041095890410965,0.036815068493150686,0.5398972602739726,61.0,"walk_reach_nodes_10min_point=0.158, competitor_density_km2=0.128, res_buildings_density_km2=0.123"
Северный,0.17260273972602738,0.1695205479452055,0.08356164383561644,0.09349315068493151,0.012157534246575343,0.005479452054794521,0.5368150684931507,62.0,"res_buildings_density_km2=0.173, walk_reach_nodes_10min_point=0.170, competitor_density_km2=0.093"
Нагорный,0.2054794520547945,0.10102739726027397,0.13013698630136986,0.046232876712328765,0.012157534246575343,0.036815068493150686,0.5318493150684932,63.0,"res_buildings_density_km2=0.205, metro_walk_time_s_point=0.130, walk_reach_nodes_10min_point=0.101"
