district_name,demand_total_base,share_10min_base,share_15min_base,mean_time_min_base,p50_time_min_base,p90_time_min_base,demand_total_mean,share_10min_mean,share_15min_mean,mean_time_min_mean,p50_time_min_mean,p90_time_min_mean,demand_total_eff,share_10min_eff,share_15min_eff,mean_time_min_eff,p50_time_min_eff,p90_time_min_eff,demand_total_keep,share_10min_keep,share_15min_keep,mean_time_min_keep,p50_time_min_keep,p90_time_min_keep,delta_mean_minus_base,delta_eff_minus_base,delta_keep_minus_base,delta_share10_mean_minus_base,delta_share10_eff_minus_base,delta_share10_keep_minus_base
Бабушкинский,5505400.279318085,0.0,0.0,48.91694866504909,49.730163473778454,59.89864650592852,5505400.279318085,0.27491003937415065,0.4198398510181931,17.165861550505728,17.19751939216919,27.78940281918029,5505400.279318085,0.2640598738069995,0.5920533061561535,13.386543339107174,13.152378307020507,19.76066944136202,5505400.279318085,0.2640598738069995,0.5920533061561535,13.386543339107174,13.152378307020507,19.76066944136202,-31.751087114543363,-35.53040532594191,-35.53040532594191,0.27491003937415065,0.2640598738069995,0.2640598738069995
Черёмушки,9127049.49841534,0.3601216820469817,0.5927535644150261,13.235011366970946,13.537826242614875,22.519289646066344,9127049.49841534,0.0,0.016453271354597777,33.435578557477676,35.064902225768904,43.97077254136842,9127049.49841534,0.0,0.016453271354597777,31.06180518223533,29.06066936618867,41.96559298422717,9127049.49841534,0.0,0.016453271354597777,33.435578557477676,35.064902225768904,43.97077254136842,20.20056719050673,17.82679381526438,20.20056719050673,-0.3601216820469817,-0.3601216820469817,-0.3601216820469817
Преображенское,5695164.443479525,0.0,0.0,73.81321885920694,74.4710771837822,85.46974539521385,5695164.443479525,0.2896767313538889,0.5992648799335257,13.559391590655961,12.890112333409837,20.941851999557684,5695164.443479525,0.2896767313538889,0.5992648799335257,13.559391590655961,12.890112333409837,20.941851999557684,5695164.443479525,0.2896767313538889,0.5992648799335257,13.559391590655961,12.890112333409837,20.941851999557684,-60.25382726855098,-60.25382726855098,-60.25382726855098,0.2896767313538889,0.2896767313538889,0.2896767313538889
Лианозово,5435832.82751196,0.0,0.0,55.68099253395612,55.32324199823361,64.02970189359301,5435832.82751196,0.0,0.0,52.33148924254751,51.077584265777105,68.46105672465696,5435832.82751196,0.0,0.0,48.5928179774342,49.113024352488374,58.82922973390672,5435832.82751196,0.0,0.0,52.33148924254751,51.077584265777105,68.46105672465696,-3.3495032914086096,-7.0881745565219205,-3.3495032914086096,0.0,0.0,0.0
Зюзино,7570913.155562031,0.0,0.0637239741085966,29.54809354314608,29.687772778516607,43.80471052469569,7570913.155562031,0.09679154490485156,0.19449145521401065,24.302387096545406,26.572736563449507,35.6789706480719,7570913.155562031,0.09679154490485156,0.19449145521401065,24.052914086798133,26.572736563449507,34.92298915982972,7570913.155562031,0.09679154490485156,0.19449145521401065,24.302387096545406,26.572736563449507,35.6789706480719,-5.245706446600675,-5.495179456347948,-5.245706446600675,0.09679154490485156,0.09679154490485156,0.09679154490485156
Текстильщики,6202199.871460068,0.0,0.0,82.23756681148699,80.55210044206022,101.7637436195716,6202199.871460068,0.0,0.0,37.68888005001273,33.98824588460017,58.17337969361626,6202199.871460068,0.0,0.04886586652289893,30.620189152822284,27.50228290160781,49.453370764334004,6202199.871460068,0.0,0.04886586652289893,30.620189152822284,27.50228290160781,49.453370764334004,-44.54868676147426,-51.6173776586647,-51.6173776586647,0.0,0.0,0.0
Ховрино,8859950.430398973,0.40430880892896365,0.7129223559801029,12.567850421481385,12.054226099115175,20.94142676195232,8859950.430398973,0.2909240575710973,0.48666016815061536,16.688593060133446,15.028453737699325,29.63277069394452,8859950.430398973,0.2909240575710973,0.48666016815061536,16.688593060133446,15.028453737699325,29.63277069394452,8859950.430398973,0.2909240575710973,0.48666016815061536,16.688593060133446,15.028453737699325,29.63277069394452,4.120742638652061,4.120742638652061,4.120742638652061,-0.11338475135786635,-0.11338475135786635,-0.11338475135786635
Пресненский,15696062.28703686,0.0,0.0,124.66405750493182,125.16031782337632,133.50425554293426,15696062.28703686,0.060367005998226295,0.08606782955778708,30.447138596779173,28.62129576377794,47.35651570510352,15696062.28703686,0.06535336424861168,0.16853841832602312,22.225346290021623,22.63587023648287,31.331087792765423,15696062.28703686,0.06535336424861168,0.14628163040814932,27.242287952878037,24.405723747027196,44.9051794055662,-94.21691890815265,-102.4387112149102,-97.42176955205377,0.060367005998226295,0.06535336424861168,0.06535336424861168
Свиблово,5292736.187368685,0.0,0.0,28.933543115545348,28.455260093235083,37.95174745988109,5292736.187368685,0.0,0.0,30.94179392270593,30.908229447970644,40.232599268599024,5292736.187368685,0.0,0.0,34.35672440919818,34.60853032549751,43.67802064785174,5292736.187368685,0.0,0.0,34.35672440919818,34.60853032549751,43.67802064785174,2.0082508071605822,5.423181293652831,5.423181293652831,0.0,0.0,0.0
Коптево,5850020.0826031715,0.0,0.0,53.31375512608074,51.144990976650085,68.3655957825644,5850020.0826031715,0.0,0.0,47.897492499111856,48.18263473331737,53.23737852235964,5850020.0826031715,0.0,0.0,53.18371098194971,52.75393193409083,62.728782401690026,5850020.0826031715,0.0,0.0,53.18371098194971,52.75393193409083,62.728782401690026,-5.416262626968887,-0.13004414413103405,-0.13004414413103405,0.0,0.0,0.0
Проспект Вернадского,6160847.982719061,0.0,0.11674787334947896,26.6846652435806,28.353909596615313,37.36413841804128,6160847.982719061,0.10410971867898952,0.2207392333187352,19.872697545332198,20.653487807752324,27.641695793372516,6160847.982719061,0.13009644329333678,0.23695849526267568,19.927975466444256,20.653487807752324,29.70340851058679,6160847.982719061,0.13009644329333678,0.23695849526267568,19.927975466444256,20.653487807752324,29.70340851058679,-6.811967698248402,-6.756689777136344,-6.756689777136344,0.10410971867898952,0.13009644329333678,0.13009644329333678
