district_name,demand_total_base,share_10min_base,share_15min_base,mean_time_min_base,p50_time_min_base,p90_time_min_base,demand_total_mean,share_10min_mean,share_15min_mean,mean_time_min_mean,p50_time_min_mean,p90_time_min_mean,delta_share_10min,delta_share_15min,delta_mean_time_min,delta_p50_time_min,delta_p90_time_min
Северное Тушино,9372484.094716314,0.0,0.0,70.56531311064641,71.90510603636855,81.00604804940899,9372484.094716314,0.0,0.0,88.45009098817195,89.09237733630269,98.9255287814441,0.0,0.0,17.884777877525536,17.18727129993414,17.91948073203511
Перово,8341434.03859476,0.0,0.0,75.00658120826729,69.48990085723673,95.53562319566251,8341434.03859476,0.0,0.0,34.96518412022389,35.24836064869843,45.577162540846416,0.0,0.0,-40.041397088043404,-34.241540208538304,-49.95846065481609
Кокошкино,774884.4927108411,0.0,0.0,180.00000000000003,180.0,180.0,774884.4927108411,0.0,0.0,180.00000000000003,180.0,180.0,0.0,0.0,0.0,0.0,0.0
Дорогомилово,5439768.107080822,0.0,0.0,85.36525057410438,88.23258435436091,97.5013814576958,5439768.107080822,0.0,0.0,50.70463752790816,50.71987893260868,58.05849634773189,0.0,0.0,-34.66061304619622,-37.51270542175223,-39.44288510996391
Нагатино-Садовники,5061317.146449391,0.0,0.0,88.67132172138467,88.26245656936322,101.21200737312778,5061317.146449391,0.0,0.0,48.619885782520434,47.37239648592159,58.85148954297854,0.0,0.0,-40.05143593886424,-40.89006008344163,-42.360517830149234
Южное Тушино,6173055.806116367,0.0,0.0,71.41275284596017,75.16232758806065,89.06063135409053,6173055.806116367,0.0,0.0,68.36826433204396,69.49885114105909,79.24286550912753,0.0,0.0,-3.044488513916207,-5.663476447001557,-9.817765844963006
Гагаринский,7011786.568684474,0.0,0.09062531278451426,31.924413500863352,29.720266977266814,52.066302375586865,7011786.568684474,0.0,0.03683834962731435,31.186373324313045,31.831064397775716,43.81880828257658,0.0,-0.053786963157199906,-0.7380401765503066,2.110797420508902,-8.247494093010282
Воскресенское,1520952.0717953374,0.0,0.0,76.80140736986924,61.80696228851923,105.22689679514755,1520952.0717953374,0.0,0.0,179.99999999999997,180.0,180.0,0.0,0.0,103.19859263013073,118.19303771148077,74.77310320485245
Останкинский,6040749.204513818,0.21963790892815843,0.32897074053894887,48.21078616511996,60.14283295918859,78.65674570288535,6040749.204513818,0.0,0.0,49.836381187151254,50.92830858367291,58.297904165113366,-0.21963790892815843,-0.32897074053894887,1.6255950220312911,-9.21452437551568,-20.35884153777198
Рязановское,3901970.0573584065,0.0,0.0,119.53164504468252,125.48445935180263,133.88947866329553,3901970.0573584065,0.0,0.0,180.0,180.0,180.0,0.0,0.0,60.46835495531748,54.51554064819737,46.110521336704466
Митино,15219211.281798132,0.4631475190575674,0.6385427629727923,13.819215398961791,11.514391491443666,25.838824606800536,15219211.281798132,0.0,0.0,107.22062410589608,108.08896944654892,122.67951050636118,-0.4631475190575674,-0.6385427629727923,93.40140870693429,96.57457795510526,96.84068589956064
Марушкинское,851587.3573018276,0.0,0.0,180.0,180.0,180.0,851587.3573018276,0.0,0.0,180.0,180.0,180.0,0.0,0.0,0.0,0.0,0.0
