district_name,total_w,covered_w_k20,share_10min_k20,covered_w_k30,share_10min_k30,covered_w_k40,share_10min_k40,covered_w_k60,share_10min_k60,delta_share_30_minus_20,delta_share_40_minus_20
Восточное Дегунино,5787109.935432202,926296.0169412206,0.16006193545242225,926296.0169412206,0.16006193545242225,926296.0169412206,0.16006193545242225,2534835.5460455343,0.4380140647624009,0.0,0.0
Восточное Измайлово,3895881.5350026255,536334.3018303353,0.13766699449447553,536334.3018303353,0.13766699449447553,536334.3018303353,0.13766699449447553,536334.3018303353,0.13766699449447553,0.0,0.0
Восточный,344719.7687056765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Выхино-Жулебино,13147253.173166135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Гагаринский,7011786.5686844755,0.0,0.0,0.0,0.0,2506788.0397499376,0.35751060235426585,2506788.0397499376,0.35751060235426585,0.0,0.35751060235426585
Головинский,7898154.824669468,696809.4024707498,0.08822432807904734,696809.4024707498,0.08822432807904734,696809.4024707498,0.08822432807904734,3099857.2723864415,0.39247866637207485,0.0,0.0
Гольяново,11975369.820058962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Даниловский,10365360.513249308,0.0,0.0,0.0,0.0,2043978.3784000466,0.19719317777585965,2043978.3784000466,0.19719317777585965,0.0,0.19719317777585965
Десёновское,4607022.582499371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Дмитровский,6949039.810069964,1961340.000319321,0.28224618852767425,4544925.241103914,0.6540364374539617,4544925.241103914,0.6540364374539617,4544925.241103914,0.6540364374539617,0.3717902489262874,0.3717902489262874
Донской,3584678.3036292866,0.0,0.0,0.0,0.0,463455.21016514406,0.12928781076280166,463455.21016514406,0.12928781076280166,0.0,0.12928781076280166
Дорогомилово,5439768.107080822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Замоскворечье,4620691.883706931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Западное Дегунино,7882770.0002905335,210158.32995079458,0.026660467062092238,2752464.703053264,0.3491748082148556,2752464.703053264,0.3491748082148556,2752464.703053264,0.3491748082148556,0.32251434115276334,0.32251434115276334
Зюзино,7570913.155562031,0.0,0.0,0.0,0.0,0.0,0.0,2270743.557715403,0.29992994385983457,0.0,0.0
Зябликово,5824778.143054006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ивановское,6664367.841183912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Измайлово,7412738.536587399,2277683.5178933004,0.3072661347289172,2277683.5178933004,0.3072661347289172,2277683.5178933004,0.3072661347289172,2277683.5178933004,0.3072661347289172,0.0,0.0
Капотня,1113892.190295785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Киевский,389919.73078250425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Кокошкино,774884.4927108411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Коньково,10215091.529898694,2845538.553639722,0.2785622179998168,2845538.553639722,0.2785622179998168,2845538.553639722,0.2785622179998168,4862673.543143922,0.47602838691276483,0.0,0.0
Коптево,5850020.0826031715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Косино-Ухтомский,4900433.958094571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Котловка,3801777.0266051125,0.0,0.0,0.0,0.0,321406.853418545,0.08454121616531333,321406.853418545,0.08454121616531333,0.0,0.08454121616531333
Красносельский,4122585.503462282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Крылатское,6121359.376200877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Крюково,8138322.808872314,7024132.553509751,0.8630933815812903,7024132.553509751,0.8630933815812903,7024132.553509751,0.8630933815812903,7024132.553509751,0.8630933815812903,0.0,0.0
Кузьминки,7638014.871014188,0.0,0.0,0.0,0.0,0.0,0.0,1968682.935285636,0.2577479840680424,0.0,0.0
Кунцево,11876496.881437957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Куркино,3327260.087455674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Левобережный,5485637.354751996,2257161.5837062844,0.41146751739813653,2257161.5837062844,0.41146751739813653,2257161.5837062844,0.41146751739813653,2257161.5837062844,0.41146751739813653,0.0,0.0
Лефортово,7495982.306869527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Лианозово,5435832.827511959,0.0,0.0,0.0,0.0,0.0,0.0,2308747.7819950944,0.42472751743026543,0.0,0.0
Ломоносовский,7743524.912517268,3270634.392220425,0.4223702292135076,3270634.392220425,0.4223702292135076,3270634.392220425,0.4223702292135076,3270634.392220425,0.4223702292135076,0.0,0.0
Лосиноостровский,5406404.529021986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Люблино,12481375.730603574,0.0,0.0,0.0,0.0,0.0,0.0,1201063.5388588472,0.09622845788657035,0.0,0.0
Марушкинское,851587.3573018276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Марфино,1962594.177196972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Марьина Роща,4556323.336127144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Марьино,18152059.184323013,3652958.767202747,0.20124211419262103,3652958.767202747,0.20124211419262103,6193361.024286678,0.34119330272102466,7384303.855417842,0.4068025440218529,0.0,0.13995118852840363
Матушкино,3157680.0269886507,3157680.0269886507,1.0,3157680.0269886507,1.0,3157680.0269886507,1.0,3157680.0269886507,1.0,0.0,0.0
Метрогородок,3190085.7187915524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Мещанский,5224528.650479559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Митино,15219211.281798132,7048739.9471777445,0.46314751905756735,7048739.9471777445,0.46314751905756735,7048739.9471777445,0.46314751905756735,7048739.9471777445,0.46314751905756735,0.0,0.0
Можайский,11142697.468368609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Молжаниновский,2125303.7069918616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Москворечье-Сабурово,5239547.774524053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Московский,11975789.846245144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Нагатино-Садовники,5061317.146449391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Нагатинский Затон,7174525.209114202,0.0,0.0,0.0,0.0,0.0,0.0,2354054.6511599217,0.32811295278040614,0.0,0.0
Нагорный,4683993.422326813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Некрасовка,9123798.232896976,2805679.0484724864,0.307512176053638,2805679.0484724864,0.307512176053638,2805679.0484724864,0.307512176053638,2805679.0484724864,0.307512176053638,0.0,0.0
Нижегородский,3756819.146941691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ново-Переделкино,6292061.97402398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Новогиреево,5218674.826902791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Новокосино,5677237.475962935,0.0,0.0,0.0,0.0,0.0,0.0,2198432.62971612,0.38723633440104366,0.0,0.0
Новофёдоровское,332769.7141911032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Обручевский,9781926.685325896,3164534.9383153007,0.3235083476001201,3164534.9383153007,0.3235083476001201,3735766.7044868493,0.3819049993587626,3735766.7044868493,0.3819049993587626,0.0,0.058396651758642504
Орехово-Борисово Северное,5671042.87373218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Орехово-Борисово Южное,8226950.034122039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Останкинский,6040749.204513818,1326777.5236388515,0.21963790892815843,1326777.5236388515,0.21963790892815843,1326777.5236388515,0.21963790892815843,1326777.5236388515,0.21963790892815843,0.0,0.0
Отрадное,12742071.675342139,1721686.6258192232,0.13511826567032664,4064095.196474906,0.318950897469801,4064095.196474906,0.318950897469801,4064095.196474906,0.318950897469801,0.18383263179947434,0.18383263179947434
Очаково-Матвеевское,11414247.711510861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Первомайское,401080.3332680615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Перово,8341434.038594761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Печатники,4198821.658323508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Покровское-Стрешнево,6405927.986981742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Преображенское,5695164.443479525,0.0,0.0,1613078.5264760945,0.28323651450010917,1613078.5264760945,0.28323651450010917,1613078.5264760945,0.28323651450010917,0.28323651450010917,0.28323651450010917
Пресненский,15696062.287036858,0.0,0.0,0.0,0.0,0.0,0.0,2207212.7560105594,0.1406220691308968,0.0,0.0
Проспект Вернадского,6160847.982719061,0.0,0.0,0.0,0.0,0.0,0.0,2324882.840209784,0.3773640977233962,0.0,0.0
Раменки,22220499.356090486,4520540.312639934,0.20344008657037155,4520540.312639934,0.20344008657037155,6972011.015248495,0.31376482155147944,6972011.015248495,0.31376482155147944,0.0,0.1103247349811079
Ростокино,3500176.5143277277,0.0,0.0,189024.53348640032,0.05400428598747566,189024.53348640032,0.05400428598747566,189024.53348640032,0.05400428598747566,0.05400428598747566,0.05400428598747566
Рязановское,3901970.057358406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Рязанский,8690640.478264323,0.0,0.0,0.0,0.0,0.0,0.0,2069326.6323525666,0.23810979611089014,0.0,0.0
Савёлки,2886057.782554071,2886057.782554071,1.0,2886057.782554071,1.0,2886057.782554071,1.0,2886057.782554071,1.0,0.0,0.0
Савёловский,4298675.357309536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Свиблово,5292736.187368686,0.0,0.0,2373553.6326055587,0.44845492928027164,2373553.6326055587,0.44845492928027164,2373553.6326055587,0.44845492928027164,0.44845492928027164,0.44845492928027164
Северное Бутово,7326709.868244738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Северное Измайлово,4747516.943146631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Северное Медведково,6563282.836935932,0.0,0.0,0.0,0.0,2498748.0641415,0.38071619435313564,2498748.0641415,0.38071619435313564,0.0,0.38071619435313564
