district_name,mean_time_min_k20,p50_time_min_k20,p90_time_min_k20,share_10min_k20,share_15min_k20,D_effective_k20,D_effective_share_k20,demand_total_k20,mean_time_min_k30,p50_time_min_k30,p90_time_min_k30,share_10min_k30,share_15min_k30,D_effective_k30,D_effective_share_k30,demand_total_k30,delta_mean_time_min,delta_p50_time_min,delta_p90_time_min,delta_share_10min,delta_share_15min,delta_D_effective
Косино-Ухтомский,42.20427664349219,38.93428098337681,62.6092006991793,0.0,0.0,2224172.7089368613,0.4538726014790909,4900433.958094571,42.20427664349219,38.93428098337681,62.6092006991793,0.0,0.0,2224172.7089368613,0.4538726014790909,4900433.958094571,0.0,0.0,0.0,0.0,0.0,0.0
Коньково,15.556355201118222,15.009149445017805,27.43283448171557,0.27856221799981684,0.4974498633739296,8610730.368647968,0.8429420669844321,10215091.529898692,15.556355201118222,15.009149445017805,27.43283448171557,0.27856221799981684,0.4974498633739296,8610730.368647968,0.8429420669844321,10215091.529898692,0.0,0.0,0.0,0.0,0.0,0.0
Ростокино,49.93785237857337,52.33038542672922,59.97527164957639,0.0,0.0,1390481.4454994858,0.39726037810026077,3500176.5143277277,29.10366440489631,28.355944184775304,38.646442047870075,0.05400428598747566,0.05400428598747566,2181328.3329570903,0.6232052366582015,3500176.5143277277,-20.834187973677057,-23.97444124195392,-21.328829601706317,0.05400428598747566,0.05400428598747566,790846.8874576045
Хорошёво-Мнёвники,136.5328800803069,138.87603737599446,146.39639803446107,0.0,0.0,3453303.7424998116,0.2,17266518.712499056,26.12284313578548,23.704105693281374,50.93086965466785,0.15620088599517246,0.2429940963023899,12026777.141139487,0.6965374631328217,17266518.712499056,-110.41003694452144,-115.17193168271308,-95.46552837979323,0.15620088599517246,0.2429940963023899,8573473.398639675
Новокосино,83.32813217670838,84.10616900572735,88.9986151110367,0.0,0.0,1135447.4951925874,0.2000000000000001,5677237.475962934,83.32813217670838,84.10616900572735,88.9986151110367,0.0,0.0,1135447.4951925874,0.2000000000000001,5677237.475962934,0.0,0.0,0.0,0.0,0.0,0.0
Фили-Давыдково,69.03886934807511,68.07426509934959,82.1197981079034,0.0,0.0,1739791.84750769,0.23367979498040264,7445195.88291147,69.03886934807511,68.07426509934959,82.1197981079034,0.0,0.0,1739791.84750769,0.23367979498040264,7445195.88291147,0.0,0.0,0.0,0.0,0.0,0.0
Алтуфьевский,42.35010541652721,40.68211483333316,51.94009734625387,0.0,0.0,1549761.3672363397,0.43623909163510544,3552550.41777101,21.971715679201637,22.922569679242564,28.621087945611414,0.10387916595444355,0.1404348379619875,2704076.941253818,0.7611649725580664,3552550.41777101,-20.37838973732557,-17.759545154090596,-23.319009400642457,0.10387916595444355,0.1404348379619875,1154315.5740174784
Рязанский,103.64169852008699,105.73713900740131,116.18001260249183,0.0,0.0,1738128.0956528648,0.20000000000000004,8690640.478264323,88.66727572451849,90.00802302956836,101.16737717152324,0.0,0.0,1738128.0956528648,0.20000000000000004,8690640.478264323,-14.9744227955685,-15.729115977832947,-15.012635430968587,0.0,0.0,0.0
Обручевский,15.76003124128365,15.246532829679934,29.78277325292383,0.3235083476001201,0.49475167389470437,8225258.7344727805,0.8408628482987599,9781926.685325896,14.725721076201909,14.260918066982708,26.742612761511996,0.3235083476001201,0.5038858129174344,8396397.345956588,0.8583582371918843,9781926.685325896,-1.0343101650817417,-0.9856147626972263,-3.0401604914118323,0.0,0.009134139022730026,171138.61148380768
Донской,72.47595484732534,72.44702481939339,83.49802640930491,0.0,0.0,737097.3289915866,0.20562440100840199,3584678.3036292866,71.48071759647382,71.44015372848547,80.51284505878387,0.0,0.0,737097.3289915866,0.20562440100840199,3584678.3036292866,-0.9952372508515168,-1.0068710909079215,-2.985181350521046,0.0,0.0,0.0
Северное Медведково,66.59021537877094,67.33803832287933,78.08554222510568,0.0,0.0,1588434.2615688352,0.24201825535076218,6563282.836935932,63.550326913848835,64.53794072308494,72.87572803985871,0.0,0.0,1664375.7706135006,0.2535889145668015,6563282.836935932,-3.0398884649221003,-2.800097599794384,-5.2098141852469695,0.0,0.0,75941.50904466538
Раменки,24.380063056923802,23.356010384395884,45.88204315925136,0.2034400865703715,0.3246600733927099,15717947.210003735,0.7073624655377311,22220499.35609049,24.380063056923802,23.356010384395884,45.88204315925136,0.2034400865703715,0.3246600733927099,15717947.210003735,0.7073624655377311,22220499.35609049,0.0,0.0,0.0,0.0,0.0,0.0
Восточное Измайлово,17.446612447820186,16.19138536490923,25.509097028276173,0.1376669944944755,0.40354158424058384,3184718.6523178434,0.8174577752697751,3895881.535002626,17.446612447820186,16.19138536490923,25.509097028276173,0.1376669944944755,0.40354158424058384,3184718.6523178434,0.8174577752697751,3895881.535002626,0.0,0.0,0.0,0.0,0.0,0.0
Чертаново Южное,88.95768404102778,89.25325375271899,104.57141754498004,0.0,0.0,1834734.6685446042,0.20085251954241626,9134735.639485681,88.95768404102778,89.25325375271899,104.57141754498004,0.0,0.0,1834734.6685446042,0.20085251954241626,9134735.639485681,0.0,0.0,0.0,0.0,0.0,0.0
"""Мосрентген""",74.97430087971817,77.93863693306176,85.1036677082001,0.0,0.0,234820.9903638736,0.2,1174104.951819368,70.03971872034094,66.33248681510398,85.1036677082001,0.0,0.0,267377.57146964857,0.22772885086237477,1174104.951819368,-4.9345821593772285,-11.606150117957782,0.0,0.0,0.0,32556.581105774967
Марьино,21.291040380305482,17.817939004458523,42.941219135997315,0.20124211419262103,0.37247549975922184,13810655.32559675,0.7608313296776981,18152059.184323013,21.291040380305482,17.817939004458523,42.941219135997315,0.20124211419262103,0.37247549975922184,13810655.32559675,0.7608313296776981,18152059.184323013,0.0,0.0,0.0,0.0,0.0,0.0
Сокольники,104.75435447660269,104.42894960960909,117.02727683233906,0.0,0.0,799577.254925777,0.2,3997886.2746288846,47.37368731270897,49.080206104864594,57.7500241791309,0.0,0.0,1572735.6619205694,0.3933917960351594,3997886.2746288846,-57.38066716389372,-55.3487435047445,-59.27725265320816,0.0,0.0,773158.4069947924
Богородское,88.02746346601852,89.17623208785245,98.71540464629203,0.0,0.0,1617576.2674389353,0.19999999999999998,8087881.337194677,20.238524836290907,20.020680277550493,29.874419314860663,0.1267125094527607,0.3078130428884788,6258200.963140171,0.7737750718918015,8087881.337194677,-67.78893862972761,-69.15555181030196,-68.84098533143137,0.1267125094527607,0.3078130428884788,4640624.695701236
Тёплый Стан,40.94470941797861,43.41303215026083,56.18777866691199,0.0,0.0,4028650.1340303486,0.48305636745877956,8339917.254841121,40.66283514116968,43.41303215026083,56.18777866691199,0.0,0.0,4028650.1340303486,0.48305636745877956,8339917.254841121,-0.28187427680892796,0.0,0.0,0.0,0.0,0.0
Чертаново Центральное,81.4653982730868,80.90088177238616,94.29186103015965,0.0,0.0,1174545.6099480079,0.20000000000000004,5872728.049740038,81.4653982730868,80.90088177238616,94.29186103015965,0.0,0.0,1174545.6099480079,0.20000000000000004,5872728.049740038,0.0,0.0,0.0,0.0,0.0,0.0
Нагорный,51.43310991818253,51.88146097153254,57.14466530344149,0.0,0.0,1672985.4465903232,0.3571707506282649,4683993.4223268125,51.43310991818253,51.88146097153254,57.14466530344149,0.0,0.0,1672985.4465903232,0.3571707506282649,4683993.4223268125,0.0,0.0,0.0,0.0,0.0,0.0
Нагатинский Затон,103.92732047120607,104.77919731409347,111.31737280700456,0.0,0.0,1434905.0418228407,0.20000000000000004,7174525.209114202,99.32558977923942,99.61534563518302,107.59672454380004,0.0,0.0,1434905.0418228407,0.20000000000000004,7174525.209114202,-4.601730691966651,-5.163851678910447,-3.7206482632045237,0.0,0.0,0.0
Ново-Переделкино,116.38410369360807,117.57143199343054,127.86114990204565,0.0,0.0,1258412.394804796,0.2,6292061.974023979,56.15851007673717,56.96975371343684,68.39080181573354,0.0,0.0,1970171.0124582448,0.31312009013767805,6292061.974023979,-60.225593616870896,-60.6016782799937,-59.470348086312114,0.0,0.0,711758.6176534488
Северное Тушино,70.56531311064641,71.90510603636855,81.00604804940899,0.0,0.0,2076979.9625710878,0.22160399970611566,9372484.094716314,16.637885041099373,15.292356942246732,28.753464556354437,0.2745642218995292,0.49376722798366407,7722222.677638231,0.8239248634192499,9372484.094716314,-53.92742806954704,-56.61274909412182,-52.25258349305455,0.2745642218995292,0.49376722798366407,5645242.715067143
Перово,75.00658120826729,69.48990085723673,95.53562319566251,0.0,0.0,1842655.199501977,0.2209038866669981,8341434.03859476,73.85374775140906,69.48990085723673,91.02602394853263,0.0,0.0,1842655.199501977,0.2209038866669981,8341434.03859476,-1.1528334568582324,0.0,-4.509599247129884,0.0,0.0,0.0
Кокошкино,180.00000000000003,180.0,180.0,0.0,0.0,154976.89854216826,0.20000000000000004,774884.4927108411,180.00000000000003,180.0,180.0,0.0,0.0,154976.89854216826,0.20000000000000004,774884.4927108411,0.0,0.0,0.0,0.0,0.0,0.0
Дорогомилово,85.36525057410438,88.23258435436091,97.5013814576958,0.0,0.0,1087953.6214161646,0.20000000000000004,5439768.107080822,85.36525057410438,88.23258435436091,97.5013814576958,0.0,0.0,1087953.6214161646,0.20000000000000004,5439768.107080822,0.0,0.0,0.0,0.0,0.0,0.0
